西元年份,公司代碼,公司簡稱,欄位編號,欄位名稱,欄位數值,欄位單位,補充說明,參考頁數,處理時間
2024,1718,中國人造纖維,35,2023年度總能源使用量,"4,043,779,000.00",百萬焦耳（MJ）,2023年能源消耗總量，單位為GJ。,p.52,2026-05-04
2024,1718,中國人造纖維,36,2022年度總能源使用量,"4,666,639,000.00",百萬焦耳（MJ）,2022年能源消耗總量，單位為GJ。,p.52,2026-05-04
2024,1718,中國人造纖維,37,是否揭露各項能源使用細項,TRUE,NA,揭露煤炭、電力(外購)、重油、天然氣之使用量。,p.52,2026-05-04
2024,1718,中國人造纖維,38,2024年度使用的各種能源項目,電力(外購): 79815 GJ; 天然氣: 230689 GJ; 煤炭: 3062498 GJ; 重油: 121373 GJ;,NA,依據報告書p.52表格數據。,p.52,2026-05-04
2024,1718,中國人造纖維,39,燃煤使用量,"120,330.00",公噸,2024年煤炭使用量。但是每給單位欸好瞎,p.50,2026-05-04
2024,1718,中國人造纖維,40,燃煤淘汰計劃,,NA,報告書提及進行鍋爐燃燒機改造及採購天然氣，但未明確提出煤炭完全淘汰之年份。,p.98,2026-05-04
2024,1718,中國人造纖維,41,化石燃料轉型計劃,採購使用低汙染熱能與乾淨燃料天然氣、鍋爐燒機改造,NA,報告書提及將聚酯廠原熱媒鍋爐燃料由重油改為天然氣，並進行鍋爐改造。,p.98,2026-05-04
2024,1718,中國人造纖維,42,當年度總用電量,"248,437,550.00",度（KWh）,"包含自力產生電力226,266,700度(p.52)與外購電力。外購電力依據p.52表格79,815 GJ換算(1 GJ=277.778 kWh)約為22,170,850度，合計約248,437,550度。",p.52,2026-05-04
2024,1718,中國人造纖維,43,再生能源使用佔總發電量（百分比）,0.00%,NA,報告書p.52表顯示2024年再生能源使用率為0%。,p.52,2026-05-04
2024,1718,中國人造纖維,44,再生能源裝置容量,0,瓩（KW）,未提及已建置之再生能源裝置容量。,NA,2026-05-04
2024,1718,中國人造纖維,45,再生能源使用來源（自發自用、購電協議、再生能源憑證）,無,NA,目前未大量使用再生能源，使用率為0%。,p.52,2026-05-04
2024,1718,中國人造纖維,46,是否達成政府用電大戶再生能源建置義務,,NA,雖提及「配合政府推行大電力用戶節電政策」，但未明確說明是否達成再生能源建置義務。,p.42,2026-05-04
2024,1718,中國人造纖維,47,是否取得RE100認證,FALSE,NA,未提及取得RE100認證。,NA,2026-05-04
2024,1718,中國人造纖維,48,是否設定再生能源使用目標,FALSE,NA,報告書未設定明確的再生能源使用率目標。,NA,2026-05-04
2024,1718,中國人造纖維,49,再生能源目標年設定,NA,NA,未設定再生能源目標年。,NA,2026-05-04
2024,1718,中國人造纖維,50,再生能源目標值（百分比）,NA,NA,未設定再生能源目標值。,NA,2026-05-04
2024,1718,中國人造纖維,51,是否設定節能目標,FALSE,NA,報告書提及「達成能源目標標的」(p.43) 及配合政府節電政策(p.44)，並於p.98提到節能減碳具體行動。,"p.43, p.98",2026-05-04
2024,1718,中國人造纖維,52,節能目標年設定,NA,NA,未設定具體長期的「節能目標」年份，主要為配合年度節電政策及長期GHG減量。,NA,2026-05-04
2024,1718,中國人造纖維,53,節能目標值（百分比）,NA,NA,未設定具體長期的節能百分比目標，僅有溫室氣體減量目標。,NA,2026-05-04
2024,1718,中國人造纖維,54,節電目標值設定（百分比）,NA,NA,雖配合政府節電政策(通常為1%)，但報告書未明確宣示自身的節電百分比目標值。,p.44,2026-05-04
2024,1718,中國人造纖維,55,是否說明關鍵減量策略,TRUE,NA,依據溫室氣體減量策略及具體行動計畫。,p.98,2026-05-04
2024,1718,中國人造纖維,56,是否生產支持轉型至低碳經濟之產品/服務,TRUE,NA,投入環保紗(綠色環保產品)生產銷售。,"p.9, p.53, p.123",2026-05-04
2024,1718,中國人造纖維,57,支持轉型至低碳經濟之產品/服務產生的營收或營收占比,0.28%,NA,"2024年永續產品(環保紗)銷售量營收127,297仟元，除以總營收45,380,155仟元，佔比0.28%","p.123, p.12",2026-05-04
2024,1718,中國人造纖維,58,失能傷害頻率(LTIFR),1.12,NA,報告書SASB對照表與職業安全章節皆顯示事故率(IR)或TRIR為1.12%。(註: 報告書單位標示為%，但數值1.12對應其公式計算結果)。,"p.73, p.124",2026-05-04
2024,1718,中國人造纖維,59,職業傷害件數,總件數6件 (跌倒1件、被夾2件、被切割2件、與有害物接觸1件),NA,2024年高雄總廠發生工傷事故共6件。,p.69,2026-05-04
2024,1718,中國人造纖維,60,損失工作日數,NA,NA,報告書表格僅提供LDR比率，未直接提供損失日數總和。,p.72,2026-05-04
2024,1718,中國人造纖維,61,重大職業安全意外事件,,NA,2024年未發生所有工作者工傷事故與死亡職業災害事故。,"p.32, p.73",2026-05-04
2024,1718,中國人造纖維,62,勞動法規違規與裁罰,,NA,2024年無違反勞動法規事件。,p.41,2026-05-04
2024,1718,中國人造纖維,63,政府補貼或獎勵,未揭露,元,報告書未提及政府補貼資訊。,NA,2026-05-04
2024,1718,中國人造纖維,64,取水量-自來水,"1,840,000.00",噸,"2024年自來水取水量1,840百萬公升。",p.60,2026-05-04
2024,1718,中國人造纖維,65,取水量-地表水,0,噸,報告書表格中地下水為0，自來水來源為高屏溪地表水但歸類於自來水項目，無直接地表水取水數據。,p.60,2026-05-04
2024,1718,中國人造纖維,66,取水量-地下水,0,噸,2024年地下水取水量為0。,p.60,2026-05-04
2024,1718,中國人造纖維,67,取水量-其他來源（海水、冷凝水、雨水、再生水）,0,噸,無海水或其他來源取水，表格中僅列出自來水與回收水。,p.60,2026-05-04
2024,1718,中國人造纖維,68,回收水量,"135,000.00",噸,2024年總回收量(廢水+冷凝水)為135百萬公升。,p.60,2026-05-04
2024,1718,中國人造纖維,69,排放水量,"579,000.00",噸,2024年排放水量579百萬公升。,p.60,2026-05-04
2024,1718,中國人造纖維,70,耗用水量,"1,396,000.00",噸,"2024年耗水量1,396百萬公升。",p.60,2026-05-04
2024,1326,台灣化學纖維,1,是否承諾淨零排放／碳中和,本公司以 2050 年達成碳中和的長期目標維持不變,NA,報告書明確承諾2050年達成碳中和。,NA,2026-05-04
2024,1326,台灣化學纖維,2,預計達成淨零排放／碳中和年份,2050,NA,承諾於2050年達成碳中和。,NA,2026-05-04
2024,1326,台灣化學纖維,3,是否設定中期溫室氣體絕對減量目標,TRUE,NA,設定有2030年溫室氣體減量目標（比2020年減少25%）。,p.55,2026-05-04
2024,1326,台灣化學纖維,4,中期減量目標年設定,2030,NA,設定2030年為中期目標年。,p.55,2026-05-04
2024,1326,台灣化學纖維,5,中期溫室氣體絕對減量目標值（百分比）,25,NA,2030年中期目標為比基準年減少25%。,p.55,2026-05-04
2024,1326,台灣化學纖維,6,中期減量基準年設定,2020,NA,中期減量目標以2020年為基準年。,p.55,2026-05-04
2024,1326,台灣化學纖維,7,中期減量基準年排放量,8540000,公噸CO2e,AI沒有判定出來，人工判定為854萬噸CO2e,NA,2026-05-04
2024,1326,台灣化學纖維,8,中期目標是否取得SBT認證,TRUE,NA,報告書提及加入SBTi倡議並提請認證，且獲得承認通過。,NA,2026-05-04
2024,1326,台灣化學纖維,9,範疇一/類別一（值）,"4,913,085.00",公噸CO2e,數據來自GRI 305-1揭露，為台化公司（母公司）範疇一排放量總計。,NA,2026-05-04
2024,1326,台灣化學纖維,10,範疇二/類別二（值）,"2,806,409.00",公噸CO2e,數據來自GRI 305-2揭露，為台化公司（母公司）範疇二排放量總計。,NA,2026-05-04
2024,1326,台灣化學纖維,11,範疇三（值）,"11,518,905.00",公噸CO2e,數據來自GRI 305-3揭露，為台化公司（母公司）範疇三排放量總計。,NA,2026-05-04
2024,1326,台灣化學纖維,12,類別三（值）,NA,公噸CO2e,報告書僅揭露範疇三總量，未依ISO 14064-1類別分類揭露數值。,NA,2026-05-04
2024,1326,台灣化學纖維,13,類別四（值）,NA,公噸CO2e,報告書僅揭露範疇三總量，未依ISO 14064-1類別分類揭露數值。,NA,2026-05-04
2024,1326,台灣化學纖維,14,類別五（值）,NA,公噸CO2e,報告書僅揭露範疇三總量，未依ISO 14064-1類別分類揭露數值。,NA,2026-05-04
2024,1326,台灣化學纖維,15,類別六（值）,NA,公噸CO2e,報告書僅揭露範疇三總量，未依ISO 14064-1類別分類揭露數值。,NA,2026-05-04
2024,1326,台灣化學纖維,16,Scope 3 類別 1 (購買商品或服務),NA,公噸CO2e,報告書雖列出範疇三包含採購商品等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,17,Scope 3 類別 2 (資本商品),NA,公噸CO2e,報告書雖列出範疇三包含資本商品等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,18,Scope 3 類別 3 (燃料與能源相關活動),NA,公噸CO2e,報告書雖列出範疇三包含燃料與能源相關活動等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,19,Scope 3 類別 4 (上游運輸和配送),NA,公噸CO2e,報告書雖列出範疇三包含上游運輸和配送等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,20,Scope 3 類別 5 (營運廢棄物),NA,公噸CO2e,報告書雖列出範疇三包含營運廢棄物等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,21,Scope 3 類別 6 (商務旅行),NA,公噸CO2e,報告書雖列出範疇三包含商務旅行等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,22,Scope 3 類別 7 (員工通勤),NA,公噸CO2e,報告書雖列出範疇三包含員工通勤等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,23,Scope 3 類別 8 (上游租賃資產),NA,公噸CO2e,報告書未個別揭露此類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,24,Scope 3 類別 9 (下游運輸和配送),NA,公噸CO2e,報告書雖列出範疇三包含下游運輸和配送等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,25,Scope 3 類別 10 (銷售產品的加工),NA,公噸CO2e,報告書雖列出範疇三包含售出產品加工等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,26,Scope 3 類別 11 (使用銷售產品),NA,公噸CO2e,報告書雖列出範疇三包含售出產品使用等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,27,Scope 3 類別 12 (銷售產品廢棄處理),NA,公噸CO2e,報告書雖列出範疇三包含售出產品終期處理等項目，但未個別揭露各類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,28,Scope 3 類別 13 (下游租賃資產),NA,公噸CO2e,報告書未個別揭露此類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,29,Scope 3 類別 14 (特許經營),NA,公噸CO2e,報告書未個別揭露此類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,30,Scope 3 類別 15 (投資),NA,公噸CO2e,報告書未個別揭露此類別數值。,NA,2026-05-04
2024,1326,台灣化學纖維,31,是否揭露近三年溫室氣體排放資料,TRUE,NA,報告書附錄中揭露2022、2023、2024年之溫室氣體排放量。,NA,2026-05-04
2024,1326,台灣化學纖維,32,是否設定範疇三減量目標,FALSE,NA,報告書提及推動供應鏈減碳，但未針對範疇三設定具體的量化減量目標百分比或年份（SBTi目標主要針對範疇一二）。,NA,2026-05-04
2024,1326,台灣化學纖維,33,範疇三減量目標實際作為,推動內部碳定價機制、制定高碳排設備採購案件設備選用分析表、優先採購綠色標章產品,NA,針對供應鏈減碳之具體作為,NA,2026-05-04
2024,1326,台灣化學纖維,34,2024年度總能源使用量,"81,022,173,000.00",百萬焦耳（MJ）,數據來自附錄IV特定產業永續揭露指標，單位為十億焦耳(GJ),NA,2026-05-04
2024,1326,台灣化學纖維,35,2023年度總能源使用量,"84,778,240,000.00",百萬焦耳（MJ）,數據來自附錄IV特定產業永續揭露指標，單位為十億焦耳(GJ),NA,2026-05-04
2024,1326,台灣化學纖維,36,2022年度總能源使用量,"82,137,006,000.00",百萬焦耳（MJ）,數據來自附錄IV特定產業永續揭露指標，單位為十億焦耳(GJ),NA,2026-05-04
2024,1326,台灣化學纖維,37,是否揭露各項能源使用細項,TRUE,NA,報告書p.75揭露2024年各項能源使用細項。,NA,2026-05-04
2024,1326,台灣化學纖維,38,2024年度使用的各種能源項目,企業內購電力: 5784258 GJ; 外購電(台電): 343661 GJ; 燃氣: 27406281 GJ; 燃油: 210581 GJ; 燃煤: 32479728 GJ; 企業內購蒸汽: 14797664 GJ;,NA,依據p.75表格數據列出。,NA,2026-05-04
2024,1326,台灣化學纖維,39,燃煤使用量,"1,108,236.00",公噸,"2024年燃煤使用量。
32479728GJ
(丟給AI換算成公頓是1,108,236 )",NA,2026-05-04
2024,1326,台灣化學纖維,40,燃煤淘汰計劃,119年(2030)目標比2020年減碳量813千噸,NA,提及119年(2030)目標比2020年減碳量813千噸(燃煤鍋爐減少煤炭用量)。,NA,2026-05-04
2024,1326,台灣化學纖維,41,化石燃料轉型計劃,持續推動鍋爐燃油改燃氣，並積極尋找氫能、氨能、生質能等低碳能源轉型。,NA,"持續推動鍋爐燃油改燃氣，並積極尋找氫能、氨能、生質能等低碳能源轉型。

燃煤鍋爐減少煤炭
用量，減少溫室氣
體排放，119 年目標比 2020 年減碳量 813 千噸

燃油鍋爐改為燃氣 114 年合計完成 29 座",NA,2026-05-04
2024,1326,台灣化學纖維,42,當年度總用電量,"1,702,199,722.00",度（KWh）,"計算自p.75表格數據：(企業內購電力 5,784,258 GJ + 外購電 343,661 GJ) * 277.778 KWh/GJ。",NA,2026-05-04
2024,1326,台灣化學纖維,43,再生能源使用佔總發電量（百分比）,0.65%,NA,報告書p.150揭露再生能源使用率為0.6549%。,NA,2026-05-04
2024,1326,台灣化學纖維,44,再生能源裝置容量,"42,195.00",瓩（KW）,"2024年累計裝置容量，包含太陽能18,922kWp及水力23,273kW。",NA,2026-05-04
2024,1326,台灣化學纖維,45,再生能源使用來源（自發自用、購電協議、再生能源憑證）,自建太陽能發電及水力發電設備（自發自用）,NA,報告書提及「增設再生能源...自發自用能源總量」。,NA,2026-05-04
2024,1326,台灣化學纖維,46,是否達成政府用電大戶再生能源建置義務,,NA,"報告書提及「符合再生能源發展條例要求」，並有大規模再生能源建置。
依據「再生能
源發展條例」
修 正 案，2021
年起在 5 年內
設置契約容量
10% 的 再 生
能源",NA,2026-05-04
2024,1326,台灣化學纖維,47,是否取得RE100認證,FALSE,NA,報告書未提及取得RE100認證。,NA,2026-05-04
2024,1326,台灣化學纖維,48,是否設定再生能源使用目標,TRUE,NA,設定有2050年累計再生能源裝置容量目標。,NA,2026-05-04
2024,1326,台灣化學纖維,49,再生能源目標年設定,2030,NA,"累計再生能源裝置容
量目標 73,251kWp",NA,2026-05-04
2024,1326,台灣化學纖維,50,再生能源目標值（百分比）,5.00%,NA,2030年再生能源用電量占總用電量5%以上。,NA,2026-05-04
2024,1326,台灣化學纖維,51,是否設定節能目標,TRUE,NA,設定產品單位能耗較前一年度減少2.5%。,NA,2026-05-04
2024,1326,台灣化學纖維,52,節能目標年設定,2025,NA,節能改善投資目標為2025年。(短期目標1年),NA,2026-05-04
2024,1326,台灣化學纖維,53,節能目標值（百分比）,2.50%,NA,產品單位能耗較前一年度減少2.5%。,NA,2026-05-04
2024,1326,台灣化學纖維,54,節電目標值設定（百分比）,NA,NA,未設定單純針對「節電」的百分比目標，僅有整體能耗降低目標。,NA,2026-05-04
2024,1326,台灣化學纖維,55,是否說明關鍵減量策略,TRUE,NA,報告書列出四大減碳策略。,NA,2026-05-04
2024,1326,台灣化學纖維,56,是否生產支持轉型至低碳經濟之產品/服務,TRUE,NA,生產環保耐隆產品、環保再生塑膠粒等。,NA,2026-05-04
2024,1326,台灣化學纖維,57,支持轉型至低碳經濟之產品/服務產生的營收或營收占比,0.46%,NA,"2024全年度綠色產品銷售額占比0.46%。
全年度綠色產品銷售額為
16.19 億元，佔合併營收 0.46%",NA,2026-05-04
2024,1326,台灣化學纖維,58,失能傷害頻率(LTIFR),0.53,NA,2024 年失能傷害頻率(LTIFR)各項工傷統計 ( 依性別 )。女性為0,NA,2026-05-04
2024,1326,台灣化學纖維,59,職業傷害件數,一般職災 5 件,NA,"2024年員工職災數據。
報告書內寫得有點不清楚
新港廠區的類型沒寫
火災:1
一般職災:5
子公司一般職災:1",NA,2026-05-04
2024,1326,台灣化學纖維,60,損失工作日數,215,NA,"依據失能傷害嚴重率26及總工時8,288,000小時推算(26*8.288)。",NA,2026-05-04
2024,1326,台灣化學纖維,61,重大職業安全意外事件,無,NA,報告書載明2024年度無重大職業災害發生。,NA,2026-05-04
2024,1326,台灣化學纖維,62,勞動法規違規與裁罰,2024年違反職業安全衛生設施規則裁罰10萬元；違反勞工職業災害保險及保護法裁罰5萬元,NA,詳列於社會法規遵循章節。,NA,2026-05-04
2024,1326,台灣化學纖維,63,政府補貼或獎勵,未揭露,元,雖提及有申請政府補助（如造林、工作生活平衡），但未揭露總金額。,NA,2026-05-04
2024,1326,台灣化學纖維,64,取水量-自來水,"1,796,000.00",噸,取水量統計表（本公司數據）。龍德+彰化+新港+麥寮+台塑生醫集團+福懋集團,NA,2026-05-04
2024,1326,台灣化學纖維,65,取水量-地表水,"27,802,000.00",噸,"取水量統計表（本公司數據）。

龍德+彰化+新港+麥寮+台塑生醫集團+福懋集團",NA,2026-05-04
2024,1326,台灣化學纖維,66,取水量-地下水,"6,037,000.00",噸,"取水量統計表（本公司數據）。

龍德+台塑生醫集團+福懋集團",NA,2026-05-04
2024,1326,台灣化學纖維,67,取水量-其他來源（海水、冷凝水、雨水、再生水）,0,噸,本公司取水量統計表中，自來水、地表水、地下水以外為0。,NA,2026-05-04
2024,1326,台灣化學纖維,68,回收水量,,噸,報告書未揭露全公司總回收水量數值，僅提及部分廠區回收率。,NA,2026-05-04
2024,1326,台灣化學纖維,69,排放水量,"12,675,400.00",噸,本公司排水量總計。,NA,2026-05-04
2024,1326,台灣化學纖維,70,耗用水量,"13,490,800.00",噸,本公司總耗水量（取水量-排水量）。,NA,2026-05-04
2024,1722,台灣肥料,1,是否承諾淨零排放／碳中和,設定2030減碳達46%，2050年達到淨零排放之目標,NA,報告書明確承諾配合國家2050淨零排放路徑。,p.33,2026-05-04
2024,1722,台灣肥料,2,預計達成淨零排放／碳中和年份,2050,NA,報告書 p.33 淨零路徑圖顯示目標年為2050年。,p.33,2026-05-04
2024,1722,台灣肥料,3,是否設定中期溫室氣體絕對減量目標,TRUE,NA,設定有2030年減量46%的中期目標。,p.33,2026-05-04
2024,1722,台灣肥料,4,中期減量目標年設定,2030,NA,中期減量目標設定於2030年。,p.33,2026-05-04
2024,1722,台灣肥料,5,中期溫室氣體絕對減量目標值（百分比）,0.46,NA,目標為減量46%。,p.33,2026-05-04
2024,1722,台灣肥料,6,中期減量基準年設定,2024,NA,報告書 p.33 明確指出「設定2024年為全公司溫室氣體基準年」。,p.33,2026-05-04
2024,1722,台灣肥料,7,中期減量基準年排放量,NA,NA,2024年溫室氣體排放總量 p32圖示439438，但p.33圖示437072。,p.33,2026-05-04
2024,1722,台灣肥料,8,中期目標是否取得SBT認證,FALSE,NA,報告書 p.33 提及「參考SBTi減碳方法學精神」及「優於SBTi目標」，但未提及已取得SBTi正式認證。,p.33,2026-05-04
2024,1722,台灣肥料,9,範疇一/類別一（值）,"392,869.00",公噸CO2e,2024年範疇一直接溫室氣體排放量。,p.32,2026-05-04
2024,1722,台灣肥料,10,範疇二/類別二（值）,"46,569.00",公噸CO2e,2024年範疇二間接溫室氣體排放量。,p.32,2026-05-04
2024,1722,台灣肥料,11,範疇三（值）,NA,NA,報告書 p.32 註2 說明「範疇三非屬自有或可支配控制之排放源，不列入排放量計算」，故未揭露數值。,p.32,2026-05-04
2024,1722,台灣肥料,12,類別三（值）,NA,NA,報告書未揭露範疇三數據（參見 p.32 註2）。,p.32,2026-05-04
2024,1722,台灣肥料,13,類別四（值）,NA,NA,報告書未揭露範疇三數據（參見 p.32 註2）。,p.32,2026-05-04
2024,1722,台灣肥料,14,類別五（值）,NA,NA,報告書未揭露範疇三數據（參見 p.32 註2）。,p.32,2026-05-04
2024,1722,台灣肥料,15,類別六（值）,NA,公噸CO2e,報告書未揭露範疇三數據（參見 p.32 註2）。,p.32,2026-05-04
2024,1722,台灣肥料,16,Scope 3 類別 1 (購買商品或服務),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,17,Scope 3 類別 2 (資本商品),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,18,Scope 3 類別 3 (燃料與能源相關活動),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,19,Scope 3 類別 4 (上游運輸和配送),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,20,Scope 3 類別 5 (營運廢棄物),NA,公噸CO2e,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,21,Scope 3 類別 6 (商務旅行),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,22,Scope 3 類別 7 (員工通勤),NA,公噸CO2e,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,23,Scope 3 類別 8 (上游租賃資產),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,24,Scope 3 類別 9 (下游運輸和配送),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,25,Scope 3 類別 10 (銷售產品的加工),NA,公噸CO2e,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,26,Scope 3 類別 11 (使用銷售產品),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,27,Scope 3 類別 12 (銷售產品廢棄處理),NA,公噸CO2e,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,28,Scope 3 類別 13 (下游租賃資產),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,29,Scope 3 類別 14 (特許經營),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,30,Scope 3 類別 15 (投資),NA,NA,報告書未揭露範疇三數據。,p.33,2026-05-04
2024,1722,台灣肥料,31,是否揭露近三年溫室氣體排放資料,TRUE,NA,p.32 揭露了 2022-2024 年的溫室氣體排放資料。,p.33,2026-05-04
2024,1722,台灣肥料,32,是否設定範疇三減量目標,FALSE,NA,報告書未提及範疇三的具體減量目標或盤查結果。,p.33,2026-05-04
2024,1722,台灣肥料,33,範疇三減量目標實際作為,NA,NA,因無範疇三盤查與目標，故無具體作為。,NA,2026-05-04
