公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）,關鍵減量策略
榮成,造紙業,"701,824",NA,20.0%,❌,❌,✅,❌,8.3%,12.0%,0.3%,8212.16,,NA,❌,"235,807",廢紙回收再利用、節能生產技術、節水生產技術、空污減廢處理、空間利用技術
華紙,造紙業,"713,081",2050,30.0%,承諾設定科學基礎目標,✅,✅,❌,,NA,29.3%,1997,,60.0%,❌,"250,197",綠電發展、減碳策略、林業經營、循環經濟、製程改善
豐興,鋼鐵業,"660,743",2050,25.0%,❌,✅,✅,❌,4.7%,NA,1.1%,18700,✅,NA,❌,0,提升效能、使用乾淨能源、製程改造、裝置再生能源、配合限電減產
潤泰材,水泥業,"637,044",,15.0%,❌,✅,✅,❌,-21.2%,NA,0.0%,NA,,NA,❌,"190,760",設備能效提升、替代原料使用、替代燃料使用、製程優化改善、低碳產品開發
世界,半導體業,"727,052",2050,45.0%,❌,✅,✅,✅,9.5%,24.0%,1.2%,272,,100.0%,✅,0,節電、減排、減量、使用綠電、負碳技術
永豐餘,造紙業,"540,486",2050,16.0%,❌,✅,✅,❌,,NA,10.0%,25200,✅,60.0%,✅,"192,749",2050年淨零排放，能源結構轉型以替代燃料代煤為核心。以替代燃料代煤為核心，提高替代燃料比例，回應脫煤倡議。
幸福,水泥業,"584,346",2050,,❌,✅,✅,❌,-5.0%,NA,NA,NA,,NA,❌,"98,186",替代燃料、替代原料、低碳水泥、水泥磨改造、餘熱發電
台玻,非金屬製品加工業,"540,771",NA,NA,❌,❌,✅,❌,-11.3%,NA,2.5%,8784,,NA,❌,0,水資源循環、碎玻璃回收、節能減碳、節能產品、再生能源
信大,水泥業,"466,021",2050,50.0%,❌,✅,✅,❌,11.8%,NA,1.1%,NA,,NA,❌,"69,014",提升替代燃料比例、增設綠電設備、採購綠電憑證、製程改善、節能減碳專案
力積電,半導體業,"683,558",2050,12.0%,❌,✅,✅,❌,28.7%,NA,1.0%,1000,,30.0%,❌,0,提升能源使用效率、設置再生能源、含氟氣體減量、製程氣體處理、推動供應鏈減碳
遠東新,石化業,"567,168",2050,50.0%,❌,✅,✅,✅,-10.8%,20.0%,14.0%,8722,,NA,❌,"185,210",提升能源效率、低碳燃料替代、發展再生能源、碳捕捉利用、原料使用轉型
矽品,半導體業,"548,736",NA,58.8%,❌,❌,✅,✅,,NA,22.7%,4308.7,✅,NA,❌,0,機台設備節能、購買再生能源憑證、太陽能發電、ISO 50001能源管理
三福氣體,石化業,"557,848",,,❌,,❌,,,,,,,,,0,
聯亞,石化業,"533,481",,,❌,,❌,,,,,,,,,0,
日月光,半導體業,"531,364",2050,58.8%,❌,✅,✅,✅,,NA,19.2%,NA,✅,100.0%,❌,0,2045年前廠內運具及上下游陸運全面低碳化，逐步汰換化石燃料載具。推動低碳運輸、建置充電樁鼓勵員工更換電動車、原物料供應商減碳輔導。
奇美實業,石化業,"476,328",2050,42.0%,符合1.5°C目標,✅,✅,✅,5.0%,NA,0.0%,22000,,25.0%,❌,0,製程轉型、能源轉型、循環經濟
欣興,電子業,"561,465",2050,30.0%,❌,❌,✅,❌,,NA,0.0%,0,,NA,❌,0,汰換高耗能設施、使用節能設備、導入智慧控制、能源管理系統
燁聯,鋼鐵業,"529,314",,,❌,,❌,,,,,,,,,0,
南電,電子業,"427,914",2050,25.0%,遠低於2°C,✅,✅,✅,34.6%,NA,0.1%,347.47,,NA,❌,0,製程能源使用減量、能源管理、公用設備效率提升
國喬,石化業,"506,600",2050,40.0%,❌,✅,✅,❌,2.0%,NA,0.0%,0,,NA,❌,"191,366",設備汰舊換新、製程系統優化、提升能源效率、使用再生能源、推動節能專案
南亞科,半導體業,"408,048",NA,25.0%,遠低於2°C,✅,✅,✅,25.4%,NA,3.9%,27.36,,25.0%,❌,0,低碳產品研發、綠色科技生產、調適氣候風險、攜手永續夥伴、氣候倡議
台灣康寧,非金屬製品加工業,"395,046",NA,30.0%,❌,✅,✅,✅,,NA,NA,NA,,NA,❌,0,提升能源效率、投資低碳技術、增加再生能源使用、供應鏈去碳化、使用回收材料
台肥,石化業,"423,763",2050,46.0%,❌,✅,✅,❌,9.6%,NA,0.0%,0,,NA,❌,0,製程改善、低碳能源替代、再生能源使用、電子級化學品回收、開發緩控釋肥料
中纖,石化業,"351,230",,6.0%,❌,✅,✅,❌,-33.3%,NA,0.0%,0,,NA,❌,"155,616",汰除高耗能設備、提升能源使用效率、採購低汙染熱能、推動循環經濟、鍋爐燒機改造
義芳化學,石化業,"410,138",,,❌,,❌,,,,,,,,,"174,971",
華邦電,半導體業,"383,761",2050,42.0%,承諾設定科學基礎目標,✅,✅,✅,9.0%,15.0%,5.9%,1319,,50.0%,❌,0,節能設備汰換、用量管理、AI智慧化能源監控、再生能源、製程氣體減量
艾杰旭,非金屬製品加工業,"389,060",,,❌,,❌,,,,,,,,,0,
亞東氣體,石化業,"377,626",,,❌,,❌,,,,,,,,,0,
旺宏,半導體業,"348,205",2050,,❌,✅,✅,✅,26.1%,NA,1.9%,430,✅,NA,❌,0,建置屋頂太陽光電、外購再生能源、製程含氟氣體減量、提升能源使用效率、購買碳權
慶欣欣,鋼鐵業,"242,749",,,❌,,❌,,,,,,,,,0,
東聯,石化業,"312,715",2050,35.0%,❌,❌,✅,✅,1.3%,5.0%,1.8%,108.78,✅,10.0%,❌,0,改善能源使用效率、使用再生能源、導入低碳燃料、選用高選擇性觸媒
亞東石化,石化業,"285,074",,,❌,,❌,,,,,,,,,0,
力成,半導體業,"304,128",2050,15.0%,❌,❌,✅,❌,3.4%,NA,3.4%,NA,,15.0%,❌,0,設備汰換、參數優化、照明汰換、建置太陽能、購買綠電
華新,鋼鐵業,"309,184",2050,,❌,✅,✅,✅,9.2%,NA,22.6%,5500,,NA,❌,0,綠色生產、再生能源、綠色營運、循環經濟、綠色產品
新纖,紡織業,"286,691",2050,NA,承諾設定科學基礎目標,✅,✅,❌,,8.0%,1.7%,5079.2,✅,NA,❌,"16,778",壓空節能、廢熱回收、採用高效率設備、水資源回收、照明節能
京元電子,半導體業,"304,252",2050,15.0%,❌,✅,✅,✅,20.2%,NA,2.0%,NA,,20.0%,❌,0,汰換低效設備、導入磁懸浮冰水機、空壓機廢熱回收、照明節能改善、提升再生能源使用
協勝發,鋼鐵業,"251,920",,,❌,,❌,,,,,,,,,0,
彩晶,光電業,"209,793",2045,30.0%,❌,✅,✅,✅,15.2%,NA,2.4%,NA,,100.0%,❌,0,組織減碳、再生能源導入、供應鏈減碳、低碳產品創新
中鴻,鋼鐵業,"222,861",2050,25.0%,❌,✅,✅,❌,,NA,0.8%,NA,✅,NA,❌,0,設備效能提升、蓄熱式加熱爐、導入綠電、氫氣燃燒技術、全氫燃燒系統
威致,鋼鐵業,"234,041",2050,8.4%,❌,✅,✅,❌,9.3%,NA,0.0%,0,,NA,❌,0,燃油改天然氣、設備節能改造、提升廢鋼預熱效率、導入ISO 50001、設置太陽光電
景碩,電子業,"260,546",2050,NA,❌,❌,✅,✅,15.1%,NA,0.9%,NA,✅,10.0%,❌,0,節能減碳專案、採購再生能源、製程改善效率提升、設備汰換高效設備、水處理與純水優化
林園先進,石化業,"220,937",,,❌,,❌,,,,,,,,,0,
台勝科,半導體業,"289,749",2050,12.5%,遠低於2°C,✅,✅,✅,11.2%,NA,0.0%,0,,25.0%,❌,0,綠建築、綠能源、綠採購、綠製程、綠排放
南茂,半導體業,"238,811",2050,20.0%,❌,✅,✅,✅,3.7%,2.0%,0.6%,7206.15,,20.0%,❌,0,綠色能源計畫、發展綠色生產、調適與緩解氣候變遷、永續行動與綠色影響力
凌巨,光電業,"118,515",2050,38.0%,❌,❌,✅,❌,,1.5%,0.0%,NA,,NA,❌,0,節約能源效益、資源循環、替代能源使用、創新產品
李長榮,石化業,"197,144",2050,42.0%,❌,❌,✅,❌,,8.0%,1.3%,NA,,15.0%,❌,0,製程改善、熱能整合、設備汰換、綠電採購、智慧監控
力鵬,石化業,"231,338",無,,❌,❌,✅,❌,-9.1%,NA,NA,NA,,NA,❌,"71,052",製程改善管理、提升能源效率、使用替代能源、發展再生能源
台苯,石化業,"275,492",2050,30.0%,❌,✅,✅,❌,4.2%,NA,1.5%,781,✅,NA,❌,"76,628",再生能源、節能改善、低碳燃料、製程改善優化、碳捕集利用與封存
榮剛,鋼鐵業,"193,157",2050,NA,❌,✅,✅,✅,-4.3%,NA,0.7%,3158.03,,NA,❌,0,製程簡化、設備節能、再生能源、低碳燃料、廢鋼回收
中美和,石化業,"185,508",,,❌,,❌,,,,,,,,,0,
海光,鋼鐵業,"175,703",2050,6.0%,❌,✅,✅,❌,5.1%,NA,3.5%,NA,,NA,❌,0,精煉爐改爐底出鋼、配合台電需量反應、建置製程節能設備、使用再生能源、汰換老舊設備
易昇,鋼鐵業,"161,173",,,❌,,❌,,,,,,,,,0,
台氯,石化業,"160,130",,,❌,,❌,,,,,,,,,0,
尚承,鋼鐵業,"106,264",,,❌,,❌,,,,,,,,,0,
大立光,光電業,"164,741",NA,NA,❌,✅,✅,❌,,NA,0.0%,0,,10.0%,❌,0,調整冷氣空調、耗能設備汰換、照明設備更換、公共區域改善採光、建置太陽光電
福懋,紡織業,"140,159",2050,33.8%,遠低於2°C,❌,✅,✅,,NA,4.9%,NA,✅,NA,❌,0,提升能源效率、低碳能源轉型、落實零煤政策、開發低碳產品、製程設備改善
力麗,石化業,"118,535",,,❌,✅,✅,❌,-5.8%,NA,NA,NA,,NA,❌,"18,650",優化製程管理、使用低耗能製程設備、建置製程餘熱回收系統、推廣節約能源、使用替代燃料
台灣必成,非金屬製品加工業,"153,623",,,❌,,❌,,,,,,,,,0,
富喬,非金屬製品加工業,"150,841",NA,NA,❌,✅,✅,❌,-0.6%,NA,0.0%,1854,,NA,❌,0,製程改善導入純氧燃燒、建置太陽能發電系統、設備變頻控制改善、汰換老舊耗能設備、照明改換LED燈
中鋼鋁,鋁製造業,"149,517",2050,25.0%,❌,✅,✅,✅,,NA,2.0%,NA,,NA,❌,0,提升能源效率、提升產品良率、製程精進優化、發展循環經濟
華通,電子業,"140,809",2050,30.0%,❌,✅,✅,❌,,NA,33.1%,NA,,30.0%,❌,0,設備汰舊換新、綠電PPA、購買憑證、太陽能發電、提升再生能源使用量
燁輝,鋼鐵業,"149,784",2050,22.0%,❌,✅,✅,❌,7.8%,NA,1.3%,NA,,NA,❌,0,設備改善更新、製程改善、照明設備改善、馬達變頻控制、高效率馬達汰換
環球晶,半導體業,"145,377",2050,NA,承諾設定科學基礎目標,✅,✅,❌,5.4%,NA,6.6%,49700,,100.0%,✅,0,採用再生能源、提升能源使用效率、購買碳補償商品、碳清除、上游價值鏈減碳
穩懋,半導體業,"110,534",2050,42.0%,❌,✅,✅,✅,0.5%,1.5%,0.2%,314,,30.0%,❌,0,能源管理、製程氣體減量、使用再生能源、原物料減量、低碳運輸
台橡,石化業,"138,991",NA,22.5%,❌,✅,✅,✅,-31.3%,NA,7.6%,NA,,30.0%,❌,0,優化製程操作、汰換高耗能設備、使用再生能源、開發低碳產品、推動循環經濟
羅東鋼鐵,鋼鐵業,"169,108",,,❌,,❌,,,,,,,,,0,
台聚,石化業,"124,942",2050,27.0%,❌,✅,✅,✅,9.2%,1.5%,0.0%,8600,✅,NA,❌,0,設備汰舊換新、建置再生能源設備、生產排程最佳化、能源管理系統、極端氣候緊急應變計畫
信昌化學,石化業,"221,765",2050,13.0%,❌,✅,✅,❌,,NA,0.0%,NA,,NA,❌,0,熱整合、蒸汽系統改善、低壓蒸汽回收使用、冷卻水塔優化改善、泵浦節能
台灣志氯,石化業,"127,896",,,❌,,❌,,,,,,,,,0,
台灣醋酸,石化業,"131,055",,,❌,,❌,,,,,,,,,0,
頎邦,半導體業,"137,042",,23.0%,❌,✅,✅,❌,8.2%,NA,0.2%,NA,✅,NA,❌,0,耗能設備汰舊換新、照明管理、再生能源使用、可視化管理、強化員工節能意識
建順煉鋼,鋼鐵業,"124,234",,,❌,,❌,,,,,,,,,0,
中聯資源,非金屬製品加工業,"118,717",2050,25.0%,❌,✅,✅,❌,-13.2%,NA,2.0%,1867,,100.0%,❌,"15,845",燃料替代、再生能源、深化能效提升、碳捕捉封存、汰換老舊設備
茂矽,半導體業,"115,042",2050,42.0%,❌,✅,✅,❌,,NA,1.3%,29.61,✅,NA,❌,0,更新廢氣處理設備、汰換冰機、照明汰換LED、購買再生能源、空調溫度設定
南紡,石化業,"96,436",NA,11.1%,❌,✅,✅,❌,-2.2%,6.0%,0.8%,NA,,NA,❌,0,製程改善、提升能源效率、轉換低碳燃料、使用再生能源
福雷電子,半導體業,"96,274",,,❌,,❌,,,,,,,,,0,
精材,電子業,"104,059",2050,15.0%,❌,✅,✅,❌,7.2%,NA,0.0%,NA,,15.0%,❌,0,節能設備更新、再生能源採購、綠色製程推動、含氟氣體削減、廢棄物減量
福懋科,半導體業,"114,106",2050,25.0%,遠低於2°C,✅,✅,✅,2.9%,NA,3.1%,0,,10.0%,❌,0,綠建築、綠能源、綠採購、綠製程、綠排放
集盛,紡織業,"123,831",無,NA,❌,❌,✅,❌,0.8%,30.0%,0.0%,3368.38,✅,NA,❌,"9,022",製程改善、能源轉換、循環經濟
永豐實,造紙業,"108,906",2050,,❌,✅,✅,❌,,NA,0.9%,3833,,NA,❌,"23,840",燃料替代、投資低碳設備、製程優化、再生能源、循環經濟
亞聚,石化業,"100,912",2050,27.0%,❌,✅,✅,✅,20.0%,NA,0.0%,496.08,,NA,❌,0,汰換老舊設備、提升能源效率、建置太陽能、使用綠電、低碳能源轉型
華夏,石化業,"90,546",2050,27.0%,❌,✅,✅,❌,15.7%,NA,0.0%,1880.88,,NA,❌,0,汰換老舊設備、提升能源效率、建置太陽能、落實綠色採購、碳捕捉利用
金居,銅製造業,"93,719",2050,NA,❌,✅,✅,❌,-2.7%,NA,NA,2100,,NA,❌,0,使用高效變頻設備、照明採LED、鍋爐採天然氣、設備汰舊換新、設置太陽能系統
廣源造紙,造紙業,"118,400",,,❌,,❌,,,,,,,,,"13,118",
華夏玻璃,非金屬製品加工業,"121,562",,,❌,,❌,,,,,,,,,0,
超豐,半導體業,"104,440",2050,10.0%,❌,❌,✅,✅,,NA,0.9%,NA,,NA,❌,0,設備節能運轉效率、改善冷卻水塔效率、太陽能發電系統
大統益,食品業,"108,895",NA,3.3%,❌,❌,✅,❌,3.5%,NA,0.4%,NA,,NA,❌,0,能源轉型、節能推動、製程改善、汰換老舊設備、使用再生能源
裕鐵,鋼鐵業,"118,947",,,❌,,❌,,,,,,,,,0,
聯成鋼鐵,鋼鐵業,"82,988",,,❌,,❌,,,,,,,,,0,
宏遠,紡織業,"95,415",2050,50.0%,❌,✅,✅,❌,-16.2%,12.0%,14.2%,0,,20.0%,❌,"53,674",設備更新、綠能佈局、設備汰換、能效提升、製程管理、智慧工廠
台灣銅箔,銅製造業,"100,902",,,❌,,❌,,,,,,,,,0,
冠軍,非金屬製品加工業,"80,430",2050,NA,❌,✅,✅,❌,-23.6%,NA,NA,NA,,100.0%,❌,0,設備汰舊換新、窯爐熱風回收、製程減碳、綠色建材研發、能源管理系統
高雄塑酯,石化業,"92,921",,,❌,,❌,,,,,,,,,0,
燿華,電子業,"94,216",NA,30.0%,❌,✅,✅,✅,-4.0%,NA,0.0%,1000,,NA,❌,0,提升能源效率、購買節能設備、建置太陽能發電系統、評估低碳燃料
唐榮公司,鋼鐵業,"95,445",2050,47.0%,❌,✅,✅,❌,4.3%,NA,2.7%,3000,,8.0%,❌,0,製程改善、耗能設備替換、投資發展綠能、智慧管理、資源循環利用
台灣石化,石化業,"86,254",,,❌,,❌,,,,,,,,,0,
中碳,石化業,"80,053",2050,5.0%,❌,✅,✅,❌,14.0%,NA,1.0%,0,✅,NA,❌,0,太陽能光電建置、購買綠電、製程節能改善、設備汰舊換新、碳捕捉利用
金像電,電子業,"88,185",2050,46.7%,❌,❌,✅,❌,-14.4%,NA,30.3%,NA,,46.7%,❌,0,汰換高耗能設備、採購再生能源憑證、異地材料採購、智慧工廠監控、製程優化
鋼聯,石化業,"88,125",2050,34.0%,❌,✅,✅,❌,4.4%,NA,8.7%,1356,,NA,❌,"34,128",替代還原劑、使用再生能源、使用電動車替代柴油、推動能源管理、製程調整
三義化學,石化業,"76,716",,,❌,,❌,,,,,,,,,0,
正新,石化業,"73,208",,22.0%,❌,✅,✅,❌,-16.6%,NA,0.4%,NA,,12.0%,❌,0,設備提升改造、更換節能設備、技術優化、綠能使用
艾克爾,半導體業,"76,437",2050,55.0%,❌,✅,✅,✅,,NA,3.3%,NA,,NA,❌,0,使用再生能源、供應商合作減碳、提升能源效率、汰換高耗能設備、製程優化
環球橡膠,石化業,"95,831",,,❌,,❌,,,,,,,,,0,
南中石化,石化業,542,,,❌,,❌,,,,,,,,,0,
統一,食品業,"77,704",NA,38.0%,❌,❌,✅,✅,-8.5%,NA,0.0%,2560,,NA,❌,0,設備汰換改造、設備參數優化、生產流程調控、使用潔淨能源、產品碳足跡認證
晶電,光電業,"67,198",2050,50.4%,❌,✅,✅,✅,,27.0%,2.6%,4933.62,,60.0%,✅,0,綠色設計、低碳技術、節能措施、循環經濟、在地採購
台灣寶理,石化業,"87,247",,,❌,,❌,,,,,,,,,0,
統一實,鋼鐵業,"94,130",2050,25.0%,❌,✅,✅,❌,-8.2%,NA,0.9%,3350,✅,NA,❌,0,設置太陽能光電、購買綠電、使用高效能設備、製程改善、使用天然氣
國巨,電子業,"27,165",2050,,❌,✅,✅,❌,7.3%,NA,4.5%,1700,,20.0%,❌,0,自動化生產、製程數位化、能源管理優化
盛餘,鋼鐵業,"82,454",2050,7.0%,❌,✅,✅,❌,9.1%,NA,0.7%,1950,,NA,❌,0,空壓機監看系統、照明改善、冷氣改善、製程改善、太陽能發電
晶兆成,半導體業,"68,806",,,❌,,❌,,,,,,,,,0,
華泰,電子業,"64,262",,23.0%,❌,✅,✅,✅,-3.1%,NA,1.2%,435,,2.7%,❌,0,優化設備運轉、汰換老舊設備、導入太陽能、購買綠電
晉瑜,水泥業,"62,352",,,❌,,❌,,,,,,,,,"7,311",
元隆,半導體業,"63,004",,,❌,,❌,,,,,,,,,0,
和益,石化業,"74,253",2050,1.3%,❌,✅,✅,❌,0.5%,NA,0.2%,0,,NA,❌,0,節能改善、能源轉型、循環經濟、製程改善、設備汰舊換新
中興紡織,石化業,"74,773",,,❌,,❌,,,,,,,,,"3,705",
台硝,石化業,"61,128",,,❌,,❌,,,,,,,,,"21,562",
合晶,半導體業,"64,148",2050,14.0%,❌,✅,✅,❌,13.6%,NA,1.2%,NA,,5.2%,❌,0,購置綠電、製程設備智慧化、使用低碳能源、建置太陽能設備、提升能源使用效率
得力,紡織業,"56,010",2050,50.0%,❌,✅,✅,❌,-11.2%,NA,0.0%,NA,,NA,❌,"11,498",燃煤鍋爐汰換、設備自動化、綠色產品開發、化學品管理
恩智浦,半導體業,"24,280",2035,55.0%,❌,✅,✅,✅,,NA,44.0%,NA,,50.0%,❌,0,替代高暖化潛勢化學品、製程優化與設備效率、轉型至再生能源
漢磊,半導體業,"65,780",NA,NA,❌,❌,✅,❌,17.6%,NA,0.8%,NA,,NA,❌,0,提升製程技術、提升能源效率、安裝廢氣處理設備、推動低碳製造、評估再生能源
台糖公司,食品業,"63,406",2050,NA,❌,✅,✅,❌,-2.4%,NA,9.0%,543640,,NA,❌,0,能源轉換、提升設備效率、再生能源、負排放技術、充電樁
台塑科騰,石化業,"57,830",,,❌,,❌,,,,,,,,,0,
新科光電,石化業,"54,849",,,❌,,❌,,,,,,,,,0,
龍慶鋼鐵,鋼鐵業,"38,904",,,❌,,❌,,,,,,,,,0,
立安東,石化業,"138,473",,,❌,,❌,,,,,,,,,"15,386",
勝一,石化業,"64,289",2050,30.0%,❌,✅,✅,❌,,NA,17.7%,49.6,✅,NA,❌,0,汰換設備、製程更新、使用再生能源、節能措施、循環經濟
榮科,銅製造業,"52,008",2050,30.0%,❌,❌,✅,❌,9.6%,NA,1.2%,499.2,✅,10.0%,❌,0,設備汰換與優化、使用中鋼廢熱蒸氣、提高再生能源比例、製程優化
敬鵬,電子業,"56,773",2050,50.0%,❌,✅,✅,✅,-12.5%,NA,13.0%,NA,,30.0%,❌,0,提升能源效率、使用再生能源、低碳技術創新、推動循環經濟、供應鏈減碳
先豐,電子業,"51,564",,,❌,,❌,,,,,,,,,0,
華東,半導體業,"59,548",2050,NA,❌,✅,✅,❌,-0.3%,NA,1.0%,575,,30.0%,❌,0,建立碳盤查制度、導入再生能源、汰換高耗能設備、製程優化、運具電氣化
合眾紙業,造紙業,"58,754",,,❌,,❌,,,,,,,,,"20,915",
聯華氣體,石化業,"50,091",,,❌,,❌,,,,,,,,,0,
華新科,電子業,"59,020",2050,15.0%,❌,✅,✅,❌,5.4%,NA,0.0%,0,,100.0%,❌,0,提升能源效率、使用再生能源、低碳產品研發、供應鏈減碳、循環經濟模式
東盟開發,鋼鐵業,"52,796",2050,15.0%,❌,✅,✅,❌,,NA,2.4%,1080,,NA,❌,0,能源效率提昇、太陽能建置、天然氣蓄熱技術、節能設備導用、運輸低碳化
中環,電子業,"33,254",NA,NA,❌,✅,✅,❌,,NA,0.0%,0,,NA,❌,0,整併生產設備、汰除高耗能產線、生產區域集中化、製程調整優化、汰除更換老舊設備
東鹼,石化業,"56,919",2050,20.0%,❌,❌,✅,❌,14.7%,NA,0.0%,0,,NA,❌,0,提升自主管理能力、取代高耗能製程設備、研議溫室氣體減量方案、提升能源使用效率、控制溫室氣體排放
義美,食品業,"52,235",,,❌,,❌,,,,,,,,,0,
新唐,半導體業,"53,821",2050,50.0%,符合1.5°C目標,✅,✅,✅,12.9%,NA,1.4%,819,,NA,❌,0,綠色製程、綠色營運、綠色產品、低碳研發、再生能源
聯成,石化業,"41,628",2050,,❌,✅,✅,❌,11.6%,NA,0.0%,NA,,NA,❌,0,實施溫室氣體盤查、推動能源管理系統、製程改善、節能減碳、開發低碳產品
台日古河,銅製造業,"55,602",,,❌,,❌,,,,,,,,,0,
合興石化,石化業,"42,131",,,❌,,❌,,,,,,,,,0,
福隆玻纖,非金屬製品加工業,"44,109",,,❌,,❌,,,,,,,,,0,
大享容器,非金屬製品加工業,"47,381",,,❌,,❌,,,,,,,,,0,
德州儀器,半導體業,"40,851",,,❌,,❌,,,,,,,,,0,
通用器材,半導體業,"46,839",,,❌,,❌,,,,,,,,,0,
味丹,食品業,"50,421",,,❌,,❌,,,,,,,,,0,
漢泰鋼鐵,鋼鐵業,"46,066",,NA,❌,✅,✅,❌,,NA,1.8%,499.91,✅,NA,❌,0,能源效率提升、生產流程優化、低碳設備投資、太陽能自發自用
聯穎,半導體業,"48,593",,,❌,,❌,,,,,,,,,0,
誠美材,光電業,"43,798",2050,3.0%,❌,✅,✅,✅,0.5%,NA,2.3%,1168.37,✅,NA,❌,0,汰換高效率設備、建置太陽能發電、製程能源優化、廢棄物轉製燃料、導入ISO 50001
中聯油脂,食品業,"45,744",,,❌,,❌,,,,,,,,,0,
宏捷科,半導體業,"46,155",2050,50.0%,❌,✅,✅,❌,-41.6%,NA,0.0%,0,,20.0%,❌,0,建置電漿尾氣處理設備、購買及使用綠電、提升能源使用效率、推動低碳製造、鼓勵電動車輛使用
