公司,產業分類,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030 年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,再生能源設置容量,是否完成用電大戶再生能源設置義務,中期再生能源目標設定,RE100 承諾,燃煤使用量（公噸）
華邦電,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
旺宏,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
東聯,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
力成,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
華新,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
新纖,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
京元電子,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,設定有2025年（短期）、2030年（中期）與2040年（長期）之減量目標。,溫室氣體減量目標以2022年為基準年。,此為2024年京元電子集團（含台灣廠區及蘇州子公司）範疇一排放總量。,報告書未揭露此細項數值。,p.82提到減排行動F包括這兩項具體作為。,"報告書p.75數據為2,914,304.76 GJ，換算為MJ (x1000)。",報告書p.81僅列出範疇三總量，未分項列出數值；p.80文字說明範疇三包含員工通勤、上下游運輸等，但無個別數據。此為2024年京元電子集團範疇三排放總量。此為2024年京元電子集團（含台灣廠區及蘇州子公司）範疇二排放總量（市場基礎/報告未特別區分，通常為電力）。,報告書未揭露此細項數值。,數據來自p.75能源消耗分析表 (2024年欄位)。,報告書未揭露此細項數值。,報告書未揭露此細項數值。,報告書未揭露此細項數值。,報告書未揭露此細項數值。,根據環境部燃料季用量申報資料
彩晶,光電業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
中鴻,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
威致,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
景碩,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台勝科,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
南茂,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
凌巨,光電業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
力鵬,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台苯,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
榮剛,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
海光,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
大立光,光電業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
福懋,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
力麗,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
富喬,非金屬製品加工業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
華通,,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
燁輝,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
環球晶,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
穩懋,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台橡,石化業,根據台灣證券交易上市公司 2023 年度第四季報,設定有2025年及2030年之溫室氣體絕對減量目標。,減量目標之基準年設定為2021年。,2024年全集團（含海外廠）範疇一排放量。,未揭露銷售產品的加工排放數據。,針對範疇3之具體作為。,,"類別3：運輸間接排放（上游運輸和配送）。2024年其他間接排放（範疇三）總量，包含類別3（837.85）、類別4中之採購產品（1,266,833.82）、能源相關活動（48,398.53）及廢棄物（15,605.18）。2024年全集團（含海外廠）範疇二排放量。",採購產品產生之排放（主要原物料）。,除了外購電力、外購蒸氣我有找到台灣廠以外，其他都是全球廠區,營運過程產生廢棄物清運與處置之排放。,上游運輸和配送產生之排放（主要原物料）。,未揭露員工通勤排放數據。,未揭露下游運輸和配送排放數據。,根據環境部燃料季用量申報資料
台聚,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
頎邦,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
中聯資源,非金屬製品加工業,根據台灣證券交易上市公司 2023 年度第四季報,設定有民國114年(短期)及民國119年(中期)之減量目標。,報告書指出選定民國107年(2018)為盤查基準年。,數據來自附錄四表1-2，民國113年直接排放量(範疇一)。,報告書未揭露此細項數值。,「產品碳足跡盤查暨第三方查證、取得產品碳標籤、推廣低碳產品多元應用」AI摘要的但我覺得不是減量作為,"2023(民國112)年：直接(861,861 GJ) + 間接(471,086 GJ) = 1,332,947 GJ。",報告書僅提供類別3~6之加總數值31.1萬噸，未分別揭露類別3之數值。數據來自p.71內文，類別3~6其他間接溫室氣體排放量總計31.1萬噸。數據來自附錄四表1-2，民國113年能源間接排放量(範疇二)。,報告書雖提及對應GHG Protocol類別，但數據僅提供ISO類別總和，無此細項數值。,依據p.68能源消耗表整理。,報告書未揭露此細項數值。,報告書未揭露此細項數值。,報告書未揭露此細項數值。,報告書未揭露此細項數值。,根據環境部燃料季用量申報資料
茂矽,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
南紡,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
精材,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
福懋科,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
集盛,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
永豐實,造紙業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
亞聚,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
華夏,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
金居,銅製造業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
超豐,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
大統益,食品業,根據台灣證券交易上市公司 2023 年度第四季報,設定2030年減量目標。,以2022年溫室氣體排放量為基準年。,2024年類別一排放量。,未揭露具體數值。,報告書未具體說明範疇三減量目標之實際作為。,"原始數據1,007,286 GJ，換算為MJ。",未揭露具體數值。報告書與附錄數據表中未揭露範疇三（類別3-6）之具體加總數值。2024年類別二排放量。,未揭露具體數值。,資料來自p.39能源耗用表。,未揭露具體數值。,未揭露具體數值。,未揭露具體數值。,未揭露具體數值。,根據環境部燃料季用量申報資料
宏遠,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
冠軍,非金屬製品加工業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
燿華,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
唐榮公司,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
中碳,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
金像電,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
鋼聯,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
正新,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
統一,食品業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
統一實,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
國巨*,電子業,根據台灣證券交易上市公司 2023 年度第四季報,報告書中僅提及「楠梓廠與大發廠規劃於2030年前降低溫室氣體排放量6%」，屬於特定廠區目標，並未設定全集團的中期絕對減量目標。,因無設定全集團中期絕對減量目標，故無對應基準年。,2024年範疇一排放量，數據來自GRI 305-1揭露。,報告書未提及是否包含此類別。,報告書雖有進行範疇三盤查，但未列出針對範疇三的具體減量目標與對應作為。,"2023年能源消耗總量為 2,172,187 GJ，換算為 2,172,187,000 MJ。","報告書未依ISO 14064-1類別分類揭露具體數值，僅提供GHG Protocol範疇三總量。2024年範疇三排放量，涵蓋類別請見補充說明。2024年範疇二排放量（市場基礎 Market-Based）。若採地點基礎（Location-Based）為326,722公噸CO2e。",報告書p.83註5提及範疇三包含「購買的產品和服務」，但未單獨列出該類別數值。,2024年能源使用細項。,報告書p.83註5提及範疇三包含「營運中產生的廢物」，但未單獨列出該類別數值。,報告書p.83註5提及範疇三包含「上游的運輸和配送」，但未單獨列出該類別數值。,報告書p.83註5提及範疇三包含「員工通勤」，但未單獨列出該類別數值。,報告書p.83註5提及範疇三包含「下游的運輸和配送」，但未單獨列出該類別數值。,根據環境部燃料季用量申報資料
盛餘,鋼鐵業,根據台灣證券交易上市公司 2023 年度第四季報,設定有2025年及2030年（長期目標前之中期檢核）的溫室氣體排放量減少目標。,"報告書多以2018為溫室氣體減量基準年(e.g., p.45, p.89)，但p.91另提及「...並以2023年為減量基準年，2025年減量目標為減少基準年排放量3%」，判讀上司要釐清",參考頁數：p.50,報告書未依GHG Protocol 15項類別分別揭露數值。,公司致力於供應鏈碳管理與產品碳足跡計算，以識別減量機會。,參考頁數：p.95,報告書僅揭露範疇三總量，未細分ISO 14064-1類別3-6之個別數值。2024年範疇三其他間接排放總量。2024年範疇二排放量（本公司數據，採經外部查驗數據）。,報告書未依GHG Protocol 15項類別分別揭露數值，僅提供範疇三總量。,數據整合自p.47(內部能源)及p.48(外部運輸能源)。蒸氣以噸數揭露，其餘已轉換為GJ。,報告書未依GHG Protocol 15項類別分別揭露數值。,報告書未依GHG Protocol 15項類別分別揭露數值。,報告書未依GHG Protocol 15項類別分別揭露數值。,報告書未依GHG Protocol 15項類別分別揭露數值。,根據環境部燃料季用量申報資料
華泰,電子業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
和益,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
合晶,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
得力,紡織業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
漢磊,半導體業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
台糖公司,食品業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
勝一,石化業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
榮科,銅製造業,根據台灣證券交易上市公司 2023 年度第四季報,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,根據環境部燃料季用量申報資料
