基金代號,公司,統一編號,溫室氣體排放量（公噸二氧化碳當量）,淨零目標年,2030年減量目標設定,SBTi 承諾,有具體減量策略,範疇三揭露,範疇三減量規劃,近三年能效進步率,節能目標設定,再生能源使用率,是否完成用電大戶再生能源設置義務,中期再生能源目標,RE100承諾,燃煤使用量（公噸）
0051,東和鋼鐵,75280209,"822,114",2050,30%,❌,因應 2050 年淨零碳排目標，訂定 1.5 度 C 低碳轉型計畫及減碳路徑圖，積極投入風電、光電、氫能、碳捕捉利用等新領域。策略包括：更新高效率電爐、投資再生能源發電業、採購再生能源電力、低碳煉鋼製程改造、提高設備能源效率、申請自主減量計畫與應用碳捕捉（CCUS）技術。減碳路徑圖主要貢獻來自 CCUS、再生能源、電爐/製程改善、減少副原料、低碳燃料、能效提升、不使用銑鐵。,❌,❌,-2.0%,,100.0%,❌,30% (2030),❌,0
0051,力積電,28112667,"582,944",2050,14%,❌,針對製程所使用的含氟溫室氣體減量，除持續進行源頭管理評估物料取代外，亦致力提升末端除害裝置之處理效能或汰換老舊設備。2024年積極推動包含製程尾氣處理設備之汰舊換新、增加製程尾氣之處理範圍及安裝高效率製程尾氣處理設備於新設機台等實際減量計畫運作。主要方案包括：汰換現場製程尾氣處理設備、增加製程尾氣處理範圍、妥善處理製程排放含氟氣體。,❌,❌,-59.0%,1%,0.9%,❌,無目標年,❌,0
0051,遠東新,03522600,"569,532",2050,50%,❌,提升能源效率：透過製程改善、設備改善、能源管理三大方向提升能源效率。低碳燃料替代：逐步將高碳排放的水煤漿和重油鍋爐替換為碳排放量較低的天然氣鍋爐，以及織染廠使用生質燃料。發展再生能源：積極投資設置多元再生能源發電設備，並逐年外購再生電力，提升再生電力使用比例。使用碳捕捉及再利用（CCU）技術：本公司首創全球廢氣回收再製聚酯技術，將鋼鐵廠回收的廢氣，透過特殊微生物發酵技術生產乙醇，再製成聚酯產品。原料使用轉型：採用低碳替代原料，包含回收再生料和生物質，以廢棄物為原料，達到循環經濟之願景。,❌,✅,9.7%,,14.0%,✅,20% (2030),❌,"185,210"
0051,欣興,23535435,"537,380",2050,30%,❌,欣興電子已採取多項關鍵策略，已持續朝永續目標前進，欣興預計於 2024~2026 年間在 6 廠區各設 1~2 座氫能發電廠，積極導入綠色能源以降低碳足跡，並提升能源自主性。此外，我們持續優化生產流程、推動廠區智慧節能技術，並參與國際減碳倡議，以確保企業發展符合全球永續標準。,❌,❌,-20.6%,,,✅,30% (2030),❌,0
0051,南電,16096804,"442,870",,3%,遠低於2°C,公司運用 AI 技術優化製程，提升良率並降低原物料消耗，如刪減烘烤、植錫球及錫膏製程改善。此外，節能節水方案分為三類：製程能源減量、能源管理、公用設備效率提升。,✅,✅,-53.0%,2%,0.1%,❌,無目標年,❌,0
0051,南亞科,89390656,"430,324",,25%,遠低於2°C,南亞科技落實「創造共享價值」策略主軸，持續盤點營運過程可能產生環境衝擊，針對自然、氣候、能源、資源、污染排放及循環再利用等議題，從源頭產品設計及先進技術研發，以提供消費者使用更高效能及更低碳排放的產品，採用優於法規的標準與遵循國際永續框架，以持續避免或降低衝擊風險，並制訂相關永續績效指標來檢核。藉建廠規劃時購置PFC高削減率Local Scrubber，以及製程PFC用量減少方案的推動，設定減量目標是達到90%以上；在2021年至2024年間，製程PFC氣體削減排放比例均達到93%以上。,❌,✅,-34.0%,,4.4%,❌,2030,,0
0051,台肥,03795101,"413,921",2050,46%,❌,台肥公司的關鍵減量策略主要包括：硝酸工場DeN2O溫室氣體減量（初期以全廠碳排減量47%為目標，2040年減量35.5萬噸二氧化碳當量）；新建置2座2萬噸液氨儲運系統，以發展氫氨能；建置再生能源及儲能系統；研發大地友善肥料產品，以減少化學肥料使用量。,✅,❌,-10.6%,1%,4.8%,❌,8% (2028),❌,0
0051,華邦電,22099218,"397,007",2050,42%,承諾設定科學基礎目標,碳排放管理 ( 溫室氣體盤查、產品碳足跡 )、能源管理系統、水資源管理系統、循環經濟、能耗設備汰換 ( 馬達與加熱設備 )、用量管理 ( 排氣系統節能 )、AI 智慧化能源監控 ( 智能空調 )、再生能源 ( 風能、太陽光電 )、製程氣體減量 ( 利用率提高 )、新式尾氣削減技術、含氟氣體替代技術、低碳原料、氫能、研究及實踐自然為本的解方、研究科技為本的解方、低碳運輸。,❌,✅,-30.8%,3%,5.9%,❌,15% (2030),❌,0
0051,力成,16082267,"306,448",2050,15%,❌,力成科技的溫室氣體減量策略著重於用電管理及減少用電量，設定節電目標：年節電率達 1%。具體措施包含設備汰換 (乾燥機設備汰換、泵浦更換為 IE3 節能馬達、冷卻水塔濾材更換)、參數優化 (冰水主機冷凝器清洗保養、空壓機 PCW 冷卻水改冰水供應、區域風機運轉時間及頻率調整等)、照明汰換 (使用高效率 LED、調整部分區域照明管控方式) 及設置太陽能板自發自用。,❌,❌,-3.5%,1%,3.5%,❌,無目標年,❌,0
0051,華新,35412204,"293,730",2050,15%,❌,三、氣候變遷因應策略：為因應極端氣候帶來之風險與機會，華新積極展開各項減碳行動，確立集團內溫室氣體減量目標，並成立節能減排小組，打造綠色低碳營運模式、並透過持續不斷的技術創新研發能力，提升綠色製程並精進綠色產品。策略主軸包含綠色生產、再生能源、綠色營運、循環經濟、綠色產品。,❌,✅,-0.1%,1%,10.4%,✅,2022,❌,0
0051,京元電子,22507241,"280,120",2050,15%,❌,關鍵減量策略主要涵蓋：推動節能專案以提高能源使用效率、透過綠電轉供持續擴大再生能源使用、既有及新建廠區屋頂建置太陽能發電系統、廠務及生產製程閥體冷媒汰換為低GWP值冷媒、持續關注重碳權交易市場。此外，再生能源策略包括規劃太陽能板設置、簽訂綠電憑證購電協議（CDDP）、與能源公司合作開發案場。,❌,❌,-25.3%,,2.4%,❌,2030,❌,0
0051,華通,04401392,"145,463",2050,30%,❌,華通透過能效提升和設備汰換兩個主要路徑進行減量行動，並依據各廠區特性，規劃多元的健康促進活動，也培養每一位員工都能建立自救救人的能力，2024年舉辦各種健康促進系列活動，以達能耗強度下降之長期目標。,❌,✅,-133.3%,1%,33.1%,✅,30% (2030),❌,0
0051,金像電,30955404,"83,259",,47%,❌,為實現碳排放總量與強度雙重下降目標，金像電於2024年推動多項具體減碳措施，涵蓋能源效率提升、設備汰換、製程優化、再生能源導入與間接排放管理等層面，逐步建構具體可量測之低碳轉型架構。具體措施包括汰換高耗能設備、馬達汰換、再生能源T-REC採購、異地材料採購。,❌,❌,3.4%,1%,28.3%,❌,1.5% (2030),❌,0
0051,正新,59504506,"79,551",,22%,❌,節能減碳委員會，各廠節能措施定期報告計畫及成果。提出自主減量計畫方案。推動節能方案，主軸面向則放在製程/廠務設備最佳化、舊設備汰換與節能控制管理等。代表性節能方案包含設備提升改造、更換節能設備、技術優化、綠能使用。,✅,❌,,1%,2.2%,❌,1% (無目標年),❌,0
0051,采鈺,80601119,"41,970",2050,,❌,采鈺公司針對氣候變遷因應策略包括：設定積極減碳目標，於2050年全公司100%使用再生能源；提高資源使用效率，降低公司中長期營運成本，亦可達到節能減碳目的；持續進行溫室氣體盤查，分析排放現況並加以訂定減量目標。在範疇一減量方面，因應化學品使用與製程尾氣排放，設置LSC確保製程尾氣溫室氣體減量效益>98%，使公司的溫室氣體排放達到初步的處理。在範疇三減量方面，將針對原物料生產與能源相關活動，主動與供應商合作展開行動，並推動產品包材回收使用、包裝袋回收再利用、廢棄空桶循環再使用等措施。,❌,❌,-11.3%,,37.1%,✅,1.5% (2030),✅,0
0051,上銀,23503047,"37,751",2050,42%,符合1.5°C目標,加大低碳產品的研發投入，從產品的原料選擇、運輸、製造過程到使用階段展開各項減碳任務。透過「提高能源效率、創新低碳產品、循環經濟減廢、導入再生能源」四大核心策略，全面展開減碳行動。,❌,✅,-4.6%,2%,2.1%,✅,無目標年,❌,0
0051,三陽工業,24004006,"36,958",2050,8%,❌,配合政府溫室減量政策與法令，持續推動溫室氣體排放減量工作並訂定各部門降低二氧化碳排放之減量目標。落實三陽環境宣言『污染預防、節能減碳、資源回收、綠化環境』。推動低碳化生產製程，提升生產效率，降低能源使用及溫室氣體排放，以清潔生產為手段，成為綠色工廠之目標。研發低碳高效能產品，多元發展高效能產品（燃油車、油電車、純電車、新能源車），降低產品使用階段碳排。公司確保提供資訊和必要資源，以實現目標和能源標的，包含營運、設計、採購與修繕各環節皆考慮節能減碳，持續改善能源績效和能源管理系統。公司同仁的參與缺一不可，包含影響能源績效的節能產品和服務的採購、考慮能源績效改善的設計活動，來遵守能源法規與績效目標是全體同仁的責任。落實資源永續利用、氣候變遷減緩與調適、生物多樣性與生態系統的保護，如於廠區設置生態池涵養水生動植物。建置完成 ISO 14001 環境管理系統，ISO 14064 溫室氣體盤查（含子公司）、ISO 14067 產品碳足跡、ISO 50001 能源管理系統，可視化電力及空壓機能源監控系統，控管能源使用及溫室氣體排放。更精進能源使用管理， 2025 年導入智慧化能源管理（EMS）。參加產發署低碳化以大帶小節能專案，偕同 10 家協力廠商參與，推動三項（包含蒸氣鍋爐燃料重油轉液化石油氣、塗裝廢氣 VOCs 採沸石轉輪濃縮 RRTO 焚化及塗裝線低碳化製程改造）重大節能設施改善。,❌,❌,13.2%,1%,,❌,無目標年,❌,0
0051,巨大,56054251,"19,911",2050,25%,❌,巨大集團的關鍵減量策略主要聚焦於「創新低碳生活、轉型價值循環」以及「促進多元共融」三大面向。具體策略包括：1. 循環供應與再生：透過創新設計改變產品生命週期，優先採購可回收、生物降解材料。2. 綠色生產：優化生產流程，導入節能設備與智慧能源管理系統，降低製造過程中的碳排放。3. 責任採購：攜手供應鏈打造自行車永續聯盟 (BAS)，建立低碳標準與監管機制，降低碳足跡。4. 推動共享經濟與低碳運輸：推動YouBike公共自行車服務、二手車市場、低碳通勤租賃與企業合作方案。,❌,✅,-9.4%,,15.6%,❌,25% (2030),❌,0
0051,可成,69905810,"11,240",2050,46%,符合1.5°C目標,可成於2024年9月向SBTi提交承諾書，並於2025年2月獲得認證，以2022年為基準年，承諾於2030年合計減少範疇一及範疇二絕對溫室氣體排放量46.2%、並減少範疇三溫室氣體排放量27.5%；長期目標為2050年減少範疇一、範疇二、範疇三絕對溫室氣體排放量分別達90%。關鍵減量策略包括：積極設置再生能源發電設備、採購綠電，實施各項節能措施。,❌,✅,-115.5%,1%,4.9%,❌,無目標年,❌,0
0052,台積電,22099131,"11,418,278",2050,,❌,氣候韌性方面，推動低碳製造，持續採用最佳技術減少溫室氣體排放。使用再生能源，持續使用再生能源及設置太陽能發電系統。提升能源使用效率，持續導入節能措施，積極落實節能行動。在供應鏈方面，透過 T.S.M.C. 供應鏈減碳行動策略，包括績效追蹤、提供支持、提升動機、創新合作四大方向進行減碳。,❌,✅,-6.6%,,14.1%,❌,18% (2030),✅,0
0052,群創,12800225,"2,412,736",,25%,遠低於2°C,公司規劃短中期減碳目標為至 2030 年溫室氣體範疇一與範疇二排放量相較基準年 2020 年減量 25%。減量策略包含製程低碳轉型、能源效率提升、再生能源裝置設置。採取行動包含維持高效率尾氣削減設備效率、FCs 氣體減量使用、降低石化燃料使用、汰換老舊設備提升能源使用效率、設置太陽能發電裝置、設置沼氣生質發電裝置與評估低碳能源發電裝置等。,❌,✅,3.0%,2%,4.9%,,無目標年,❌,0
0052,友達,84149738,"1,971,913",2050,42%,符合1.5°C目標,友達推動低碳供應鏈之策略一為「數位平台的導入與減碳路徑的規劃」，目標是透過數位科技及環保資源來引導供應鏈在 2030 年達成減碳 20% 的目標。2023 年友達與經濟部聯合 15 家關鍵供應商啟動「以大帶小製造業低碳及智慧化升級轉型補助」專案，並於 2024 年完成計劃中各項減碳目標。透過此專案，友達發揮產業影響力，以務實的技術與輔導，助攻供應商導入數位節能與碳管理機制，建置有效且長期運行的低碳轉型模式，推動整個供應鏈的低碳化目標。,❌,✅,7.0%,5%,6.7%,✅,30% (2030),✅,0
0052,聯電,47217677,"1,430,027",2050,42%,符合1.5°C目標,聯電已擬定低碳轉型計畫，將分別針對營運活動的直接排放（範疇一）、能源使用的間接排放（範疇二），以及價值鏈產生的間接排放（範疇三）進行減量。主要策略包括：1. 持續積極自主減碳（研發先進晶圓代工技術、提升能資源生產力及使用效率，將半導體晶圓製造及 IC 終端產品使用階段之碳排降到最低）；2. 全面採用再生能源（訂定 2025 年 25%、2030 年 50%、2050 年 100% 三階段目標，大幅提升再生能源使用比例）；3. 投資淨零碳技術（投資淨零碳排放技術及參與碳抵減相關專案，以抵減不可避免或尚有削減技術限制的碳排放）。,❌,✅,-28.5%,,17.1%,✅,30% (2030),✅,0
0052,力積電,28112667,"582,944",2050,14%,❌,針對製程所使用的含氟溫室氣體減量，除持續進行源頭管理評估物料取代外，亦致力提升末端除害裝置之處理效能或汰換老舊設備。2024年積極推動包含製程尾氣處理設備之汰舊換新、增加製程尾氣之處理範圍及安裝高效率製程尾氣處理設備於新設機台等實際減量計畫運作。主要方案包括：汰換現場製程尾氣處理設備、增加製程尾氣處理範圍、妥善處理製程排放含氟氣體。,❌,❌,-59.0%,1%,0.9%,❌,無目標年,❌,0
0052,欣興,23535435,"537,380",2050,30%,❌,欣興電子已採取多項關鍵策略，已持續朝永續目標前進，欣興預計於 2024~2026 年間在 6 廠區各設 1~2 座氫能發電廠，積極導入綠色能源以降低碳足跡，並提升能源自主性。此外，我們持續優化生產流程、推動廠區智慧節能技術，並參與國際減碳倡議，以確保企業發展符合全球永續標準。,❌,❌,-20.6%,,,✅,30% (2030),❌,0
0052,南電,16096804,"442,870",,3%,遠低於2°C,公司運用 AI 技術優化製程，提升良率並降低原物料消耗，如刪減烘烤、植錫球及錫膏製程改善。此外，節能節水方案分為三類：製程能源減量、能源管理、公用設備效率提升。,✅,✅,-53.0%,2%,0.1%,❌,無目標年,❌,0
0052,南亞科,89390656,"430,324",,25%,遠低於2°C,南亞科技落實「創造共享價值」策略主軸，持續盤點營運過程可能產生環境衝擊，針對自然、氣候、能源、資源、污染排放及循環再利用等議題，從源頭產品設計及先進技術研發，以提供消費者使用更高效能及更低碳排放的產品，採用優於法規的標準與遵循國際永續框架，以持續避免或降低衝擊風險，並制訂相關永續績效指標來檢核。藉建廠規劃時購置PFC高削減率Local Scrubber，以及製程PFC用量減少方案的推動，設定減量目標是達到90%以上；在2021年至2024年間，製程PFC氣體削減排放比例均達到93%以上。,❌,✅,-34.0%,,4.4%,❌,2030,,0
0052,華邦電,22099218,"397,007",2050,42%,承諾設定科學基礎目標,碳排放管理 ( 溫室氣體盤查、產品碳足跡 )、能源管理系統、水資源管理系統、循環經濟、能耗設備汰換 ( 馬達與加熱設備 )、用量管理 ( 排氣系統節能 )、AI 智慧化能源監控 ( 智能空調 )、再生能源 ( 風能、太陽光電 )、製程氣體減量 ( 利用率提高 )、新式尾氣削減技術、含氟氣體替代技術、低碳原料、氫能、研究及實踐自然為本的解方、研究科技為本的解方、低碳運輸。,❌,✅,-30.8%,3%,5.9%,❌,15% (2030),❌,0
0052,力成,16082267,"306,448",2050,15%,❌,力成科技的溫室氣體減量策略著重於用電管理及減少用電量，設定節電目標：年節電率達 1%。具體措施包含設備汰換 (乾燥機設備汰換、泵浦更換為 IE3 節能馬達、冷卻水塔濾材更換)、參數優化 (冰水主機冷凝器清洗保養、空壓機 PCW 冷卻水改冰水供應、區域風機運轉時間及頻率調整等)、照明汰換 (使用高效率 LED、調整部分區域照明管控方式) 及設置太陽能板自發自用。,❌,❌,-3.5%,1%,3.5%,❌,無目標年,❌,0
0052,京元電子,22507241,"280,120",2050,15%,❌,關鍵減量策略主要涵蓋：推動節能專案以提高能源使用效率、透過綠電轉供持續擴大再生能源使用、既有及新建廠區屋頂建置太陽能發電系統、廠務及生產製程閥體冷媒汰換為低GWP值冷媒、持續關注重碳權交易市場。此外，再生能源策略包括規劃太陽能板設置、簽訂綠電憑證購電協議（CDDP）、與能源公司合作開發案場。,❌,❌,-25.3%,,2.4%,❌,2030,❌,0
0052,大立光,22480876,"164,275",,,❌,"擬定碳減量計畫與再生能源策略，持續進行節能減碳措施。導入高效率空調、製程冷卻與照明系統(如變頻空壓機、LED照明)。溫控調整或增設定時裝置以降低運轉耗電。推動E化系統減少用紙消耗。設置電力監控系統。安裝節水設備，定期記錄用水流量及分析。高耗能及老舊設備汰換。新建廠規劃建置1,100KW太陽光電。尋找合適再生能源取代傳統能源。廠區綠化。廠區內生產製程物料使用源頭控管，避免使用現行環保技術無法處理的原物料。",✅,❌,,,0.0%,❌,2030,❌,0
0052,華通,04401392,"145,463",2050,30%,❌,華通透過能效提升和設備汰換兩個主要路徑進行減量行動，並依據各廠區特性，規劃多元的健康促進活動，也培養每一位員工都能建立自救救人的能力，2024年舉辦各種健康促進系列活動，以達能耗強度下降之長期目標。,❌,✅,-133.3%,1%,33.1%,✅,30% (2030),❌,0
0052,金像電,30955404,"83,259",,47%,❌,為實現碳排放總量與強度雙重下降目標，金像電於2024年推動多項具體減碳措施，涵蓋能源效率提升、設備汰換、製程優化、再生能源導入與間接排放管理等層面，逐步建構具體可量測之低碳轉型架構。具體措施包括汰換高耗能設備、馬達汰換、再生能源T-REC採購、異地材料採購。,❌,❌,3.4%,1%,28.3%,❌,1.5% (2030),❌,0
0052,國巨,22636630,"75,048",2050,,❌,2024 年，我們整合「自動化生產」、「製程數位化」與「能源管理優化」三大策略，創造兼顧環保與營運效能的新標竿。我們逐步擴大再生能源使用與水資源管理目標，確保企業營運與環境保護並行不悖。同時，國巨全面對照 TCFD 架構進行氣候風險識別與資訊揭露，建立包含碳排放、用水、再生能源等關鍵指標的追蹤機制，強化永續治理基礎，穩健邁向 2050 年淨零排放目標。/ 目前公司主要策略為強化研發能力以符合客戶低環境衝擊產品的需求，同時透過提升再生能源使用率，設定各廠節能目標、提升單位產能績效降低生產之能源耗量，更預計逐步於各廠建置再生能源系統及導入 ISO 50001 能源管理系統。,❌,❌,-7.8%,1%,4.5%,❌,無目標年,❌,0
0052,采鈺,80601119,"41,970",2050,,❌,采鈺公司針對氣候變遷因應策略包括：設定積極減碳目標，於2050年全公司100%使用再生能源；提高資源使用效率，降低公司中長期營運成本，亦可達到節能減碳目的；持續進行溫室氣體盤查，分析排放現況並加以訂定減量目標。在範疇一減量方面，因應化學品使用與製程尾氣排放，設置LSC確保製程尾氣溫室氣體減量效益>98%，使公司的溫室氣體排放達到初步的處理。在範疇三減量方面，將針對原物料生產與能源相關活動，主動與供應商合作展開行動，並推動產品包材回收使用、包裝袋回收再利用、廢棄空桶循環再使用等措施。,❌,❌,-11.3%,,37.1%,✅,1.5% (2030),✅,0
0052,廣達,22822281,"27,466",2050,42%,承諾設定科學基礎目標,廣達將持續深化內部節能減碳行動，並擴展低碳營運策略。全球各營運據點積極推動節能與低碳專案，涵蓋設備升級與汰換、流程優化、營運模式調整、員工行為改善，以及逐步擴大綠電採購。2024年共執行81項節能減碳方案，較2023年增加27項，具體措施包括冰水主機設備汰換與安裝、馬達、增設智慧電錶、鍋爐加裝節能器等、安裝變頻器。,✅,✅,2.4%,,47.5%,❌,無目標年,❌,0
0052,可成,69905810,"11,240",2050,46%,符合1.5°C目標,可成於2024年9月向SBTi提交承諾書，並於2025年2月獲得認證，以2022年為基準年，承諾於2030年合計減少範疇一及範疇二絕對溫室氣體排放量46.2%、並減少範疇三溫室氣體排放量27.5%；長期目標為2050年減少範疇一、範疇二、範疇三絕對溫室氣體排放量分別達90%。關鍵減量策略包括：積極設置再生能源發電設備、採購綠電，實施各項節能措施。,❌,✅,-115.5%,1%,4.9%,❌,無目標年,❌,0
